Date,Year_Month,Total_Thefts
2014-01-01,2014 01,228
2014-02-01,2014 02,253
2014-03-01,2014 03,309
2014-04-01,2014 04,309
2014-05-01,2014 05,304
2014-06-01,2014 06,249
2014-07-01,2014 07,356
2014-08-01,2014 08,344
2014-09-01,2014 09,315
2014-10-01,2014 10,356
2014-11-01,2014 11,349
2014-12-01,2014 12,256
2015-01-01,2015 01,216
2015-02-01,2015 02,201
2015-03-01,2015 03,271
2015-04-01,2015 04,277
2015-05-01,2015 05,255
2015-06-01,2015 06,284
2015-07-01,2015 07,266
2015-08-01,2015 08,309
2015-09-01,2015 09,283
2015-10-01,2015 10,338
2015-11-01,2015 11,319
2015-12-01,2015 12,266
2016-01-01,2016 01,266
2016-02-01,2016 02,219
2016-03-01,2016 03,292
2016-04-01,2016 04,225
2016-05-01,2016 05,249
2016-06-01,2016 06,297
2016-07-01,2016 07,333
2016-08-01,2016 08,267
2016-09-01,2016 09,316
2016-10-01,2016 10,340
2016-11-01,2016 11,280
2016-12-01,2016 12,264
2017-01-01,2017 01,238
2017-02-01,2017 02,233
2017-03-01,2017 03,287
2017-04-01,2017 04,275
2017-05-01,2017 05,299
2017-06-01,2017 06,299
2017-07-01,2017 07,333
2017-08-01,2017 08,341
2017-09-01,2017 09,334
2017-10-01,2017 10,334
2017-11-01,2017 11,330
2017-12-01,2017 12,314
2018-01-01,2018 01,321
2018-02-01,2018 02,335
2018-03-01,2018 03,343
2018-04-01,2018 04,354
2018-05-01,2018 05,421
2018-06-01,2018 06,393
2018-07-01,2018 07,405
2018-08-01,2018 08,421
2018-09-01,2018 09,375
2018-10-01,2018 10,460
2018-11-01,2018 11,511
2018-12-01,2018 12,465
2019-01-01,2019 01,431
2019-02-01,2019 02,376
2019-03-01,2019 03,426
2019-04-01,2019 04,396
2019-05-01,2019 05,431
2019-06-01,2019 06,444
2019-07-01,2019 07,491
2019-08-01,2019 08,441
2019-09-01,2019 09,454
2019-10-01,2019 10,525
2019-11-01,2019 11,492
2019-12-01,2019 12,455
2020-01-01,2020 01,449
2020-02-01,2020 02,408
2020-03-01,2020 03,458
2020-04-01,2020 04,475
2020-05-01,2020 05,457
2020-06-01,2020 06,502
2020-07-01,2020 07,505
2020-08-01,2020 08,456
2020-09-01,2020 09,596
2020-10-01,2020 10,577
2020-11-01,2020 11,506
2020-12-01,2020 12,398
2021-01-01,2021 01,444
2021-02-01,2021 02,384
2021-03-01,2021 03,470
2021-04-01,2021 04,465
2021-05-01,2021 05,500
2021-06-01,2021 06,502
2021-07-01,2021 07,576
2021-08-01,2021 08,621
2021-09-01,2021 09,691
2021-10-01,2021 10,719
2021-11-01,2021 11,659
2021-12-01,2021 12,611
2022-01-01,2022 01,676
2022-02-01,2022 02,654
2022-03-01,2022 03,818
2022-04-01,2022 04,766
2022-05-01,2022 05,754
2022-06-01,2022 06,803
2022-07-01,2022 07,703
2022-08-01,2022 08,770
2022-09-01,2022 09,907
2022-10-01,2022 10,981
2022-11-01,2022 11,988
2022-12-01,2022 12,1015
2023-01-01,2023 01,1049
2023-02-01,2023 02,863
2023-03-01,2023 03,1083
2023-04-01,2023 04,1085
2023-05-01,2023 05,1164
2023-06-01,2023 06,1141
2023-07-01,2023 07,926
2023-08-01,2023 08,1000
2023-09-01,2023 09,873
2023-10-01,2023 10,950
2023-11-01,2023 11,1110
2023-12-01,2023 12,1018
2024-01-01,2024 01,982
2024-02-01,2024 02,864
2024-03-01,2024 03,800
